PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CO2,N1bar_CO2,log_D0_CO2,log_D1bar_CO2
5.4451,6.31092,1.159009017,645.76,0.49582,0.445232665,25.86693379,2.640203303,-4.554876294,-4.979359599
4.93668,5.48228,1.11051962,785.597,0.53086,0.447990683,29.14560644,4.102515714,-3.923447847,-4.907433652
4.89759,5.65614,1.154882299,913.914,0.55704,0.500444708,28.44953392,4.787734896,-3.754956645,-4.825057416
4.51467,5.44142,1.205275247,500.175,0.5001,0.275040148,43.97333561,2.929942713,-4.977164373,-5.259714495
4.88169,5.99991,1.229064115,1468.41,0.61502,0.556765614,20.46474644,4.041925787,-4.299317985,-4.43540275
4.20229,5.16583,1.229289268,602.813,0.51252,0.439463575,28.2198386,2.99591026,-4.738660164,-5.836328938
5.24025,7.13491,1.361559086,1971.32,0.64884,0.674984864,22.87648306,3.238936615,-4.444773778,-4.415652664
6.30914,7.54763,1.196300922,1344.47,0.61346,0.603359758,18.01816608,2.875659484,-3.617571306,-3.895942097
5.41267,6.44764,1.19121247,2206.57,0.63174,0.687438315,23.68457453,5.508208534,-4.146603568,-4.2973737
5.21845,6.19215,1.186587972,1780.51,0.62202,0.648383939,21.11894335,6.218864629,-3.853418124,-4.346497138
5.72948,7.70901,1.345499068,1552.97,0.59466,0.591760374,24.97359231,4.275538846,-4.2179928,-4.277968857
6.19226,7.11646,1.149250839,1324.79,0.57908,0.561684627,19.57000374,4.491482433,-3.47191185,-4.065448209
5.75134,6.79615,1.181663751,1173.51,0.5675,0.512350583,20.38100008,2.510656665,-3.823959302,-4.021809333
5.81846,6.76349,1.162419266,1181.72,0.56678,0.509076211,21.14503592,2.720024101,-3.893061852,-4.085380905
9.30306,11.01739,1.184275926,1290,0.65364,0.63489165,20.31605776,1.410454993,-4.59691722,-4.63455749
8.81485,9.37681,1.06375151,1034.7,0.62004,0.60803138,14.40003859,0.422363799,-3.601930924,-3.639378851
11.54677,12.36039,1.070462995,1097.12,0.6806,0.492681444,16.18584487,1.299740938,-3.481537513,-3.540525081
5.30289,5.4946,1.036151985,1395.72,0.6127,0.661818158,23.90859903,5.878038352,-4.23388432,-5.058923125
4.59142,5.47244,1.191883992,1247.91,0.55474,0.538467512,23.25499855,4.318332385,-4.171282988,-4.627723984
9.13066,13.54985,1.483994585,3063.99,0.77418,1.229087353,15.29303207,1.338168988,-3.951157284,-3.911777044
5.06628,5.31376,1.048848465,500.296,0.43594,0.290756538,30.00262048,2.972903416,-4.269346422,-5.802904832
8.54605,20.14565,2.357305422,5410.53,0.8642,2.526442575,10.65147772,1.194433338,-3.553282258,-3.601004497
7.46421,8.75902,1.173469128,2449.21,0.68932,0.89469442,25.410097,5.181770867,-4.254512959,-4.357140379
4.41775,4.76295,1.078139324,485.717,0.47632,0.362347285,33.76697388,4.26585149,-3.048625653,-4.29869423
31.49051,33.05863,1.04979659,2906.63,0.83208,1.799305863,22.27917906,2.758447913,-4.099131571,-3.961456254
4.56338,5.47883,1.200607883,348.291,0.45418,0.217427521,25.44751687,1.314830704,-4.407716937,-5.440669298
4.1969,5.64744,1.345621768,1024.7,0.56064,0.516404768,23.68095481,4.427467354,-4.470722127,-4.927304006
10.45745,10.54661,1.008525979,1438.1,0.66182,0.75013488,15.88927139,1.232005994,-3.660139513,-3.775056224
10.23297,10.35764,1.012183169,1390.52,0.65554,0.733276882,15.87578807,1.236574585,-3.712558572,-3.737826113
10.09526,10.20776,1.011143844,1062.17,0.6163,0.608595185,16.45658304,0.956126851,-3.7781491,-3.787306288
9.95473,10.07029,1.011608552,1045.07,0.61098,0.598126267,16.29612818,0.907325426,-3.752543595,-3.774453399
10.19883,10.32219,1.012095505,1419.53,0.65654,0.734888688,15.85505171,1.225552302,-3.752271199,-3.818278523
10.23127,10.36311,1.012885986,1409.99,0.6572,0.738175655,15.42929318,1.106806529,-3.673780316,-3.740739384
10.2098,10.32563,1.011344982,921.145,0.6122,0.52518251,14.94057429,0.716827778,-3.49388964,-3.587006299
9.78954,9.9082,1.012121101,1055.67,0.6064,0.587750671,16.34898464,0.905335758,-3.775302271,-3.8032885
9.63706,9.77409,1.014219067,1141.74,0.59722,0.60298575,18.81529856,1.893268178,-3.6701792,-3.824173072
9.89092,10.03622,1.014690241,1208.74,0.6104,0.63534888,18.54421091,1.788322034,-3.639551024,-3.765608982
5.16047,6.75364,1.308725756,2935.51,0.6548,0.819826069,21.35439508,8.201860569,-4.00488734,-4.290990044
5.02845,6.64209,1.320902067,2823.58,0.65108,0.805574734,21.58590158,8.416511979,-3.955869774,-4.324655335
5.44633,7.19383,1.320858266,3056.13,0.67,0.874350599,20.58869925,7.563094573,-3.970488966,-4.174595075
5.16957,6.75186,1.306077682,2939.45,0.65506,0.820151595,21.36292229,8.223596755,-3.971827961,-4.282206241
6.03558,10.21454,1.692387476,2563.33,0.68238,0.892734026,17.204075,3.730564703,-4.016987165,-4.106003727
5.96794,8.00306,1.34100879,3061.76,0.68974,0.944800134,16.88037782,5.069601515,-3.863588137,-4.040595979
7.20236,7.55271,1.048643778,545.57,0.44976,0.311709914,19.98689947,2.204298452,-3.947207481,-4.545416387
