PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst N2,N1bar_N2,log_D0_N2,log_D1bar_N2
10.23127,10.36311,1.012885986,1409.99,0.6572,0.738175655,9.059640975,0.186009653,-3.471130863,-3.529910338
10.2098,10.32563,1.011344982,921.145,0.6122,0.52518251,8.006177708,0.108196123,-3.074981462,-3.138288862
9.78954,9.9082,1.012121101,1055.67,0.6064,0.587750671,7.914973357,0.11155334,-3.292844386,-3.417943466
9.63706,9.77409,1.014219067,1141.74,0.59722,0.60298575,9.212354863,0.168375267,-3.326615407,-3.279691152
9.89092,10.03622,1.014690241,1208.74,0.6104,0.63534888,9.290683217,0.175610331,-3.396681355,-3.410726285
5.16047,6.75364,1.308725756,2935.51,0.6548,0.819826069,12.21284991,0.799064691,-3.644340969,-3.678073129
5.02845,6.64209,1.320902067,2823.58,0.65108,0.805574734,12.45962462,0.825871422,-3.719442557,-3.713518693
5.44633,7.19383,1.320858266,3056.13,0.67,0.874350599,11.46811302,0.721743852,-3.621776804,-3.608189991
5.16957,6.75186,1.306077682,2939.45,0.65506,0.820151595,12.20956676,0.802813295,-3.630373414,-3.685964887
6.03558,10.21454,1.692387476,2563.33,0.68238,0.892734026,9.847775164,0.426548216,-3.709573801,-3.722540729
5.96794,8.00306,1.34100879,3061.76,0.68974,0.944800134,10.08977017,0.552212488,-3.593811588,-3.60780294
7.20236,7.55271,1.048643778,545.57,0.44976,0.311709914,11.82664132,0.211287744,-3.602319624,-3.627097348
10.44621,10.53908,1.008890306,645.574,0.5418,0.503681392,9.319974908,0.101531217,-3.373296345,-3.478042967
4.09504,5.33845,1.30363806,174.546,0.60088,0.398464181,16.76180305,0.363288679,-5.025943064,-5.015543488
9.65919,15.53135,1.607935034,1705.48,0.73432,0.998781311,8.43313079,0.275507433,-3.55469378,-3.486702283
