Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CH4,log_P(MMM)_CH4
1.306,0.166,16.4778,18.22015,3234.5,0.85146,1.609939551,7.568159636,0.088134251
1.33,0.104,21.44486,23.95238,5894.2,0.92432,5.237355938,5.124994078,1.322202534
1.33,0.104,4.66596,8.11285,1591.09,0.6161,0.571463023,14.28089607,1.322203649
0.75,0.29,8.40599,9.05788,2824.78,0.69858,0.988536553,11.24238682,4.047635238
1.33,0.104,35.21564,39.27062,4724.64,0.94886,7.103787499,5.965279925,1.322208484
1.09,0.26,17.28216,19.40742,5528.12,0.87972,2.972840541,6.071386895,2.339739447
1.09,0.26,8.40421,13.55573,3065.64,0.748,1.101324829,8.322559767,2.3394634
1.22,0.25,7.71066,8.23812,1389.57,0.66636,0.550938404,13.50082316,3.667394823
1.44,0.2104,12.89523,18.44236,6235.12,0.89562,3.537581022,4.935020024,0.991214441
1.241,0.225,4.66211,4.98254,210.989,0.4197,0.326487748,22.25384771,-0.414540092
