PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst N2,N1bar_N2
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,11.73409751,0.378837355
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,11.56063224,0.353271787
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,51.1627907,23.25581395,2.325581395,18.60465116,0,4.651162791,8.954758545,0.399388027
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,22.22222222,22.22222222,33.33333333,0,11.11111111,11.11111111,10.4149122,0.175752233
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,52.27272727,20.45454545,0,22.72727273,0,4.545454545,12.53678976,0.655029869
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,52.27272727,20.45454545,0,22.72727273,0,4.545454545,11.88911272,0.412070553
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,47.36842105,15.78947368,0,31.57894737,0,5.263157895,11.8111521,0.306862949
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,49.82698962,24.91349481,4.152249135,13.84083045,2.076124567,5.190311419,6.353826101,0.183907928
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,50,30,0,16.66666667,0,3.333333333,13.13196244,0.16902837
4.38571,5.73292,719.362,0.52164,1.22616,0.425425719,50,30,0,16.66666667,0,3.333333333,15.32460942,0.557229821
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,43.75,18.75,6.25,25,0,6.25,12.18825756,0.487942434
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,43.75,18.75,6.25,25,0,6.25,11.43087717,0.453557919
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,52.17391304,34.7826087,8.695652174,0,0,2.173913043,12.34160917,0.446152403
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,52.17391304,34.7826087,8.695652174,0,0,2.173913043,12.28811679,0.40949445
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,52.17391304,34.7826087,8.695652174,0,0,2.173913043,12.36036245,0.419285829
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,52.17391304,34.7826087,8.695652174,0,0,2.173913043,12.39674515,0.419958179
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,52.17391304,34.7826087,8.695652174,0,0,2.173913043,12.16495526,0.434762042
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,52.17391304,34.7826087,8.695652174,0,0,2.173913043,12.22958051,0.409004787
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,47.36842105,15.78947368,0,31.57894737,0,5.263157895,10.94924976,0.385304979
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,48.21428571,37.5,12.5,0,0,1.785714286,10.53340365,0.272606075
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,48.4375,35.9375,10.9375,3.125,0,1.5625,15.3134373,0.316443308
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,46.875,21.875,6.25,20.3125,0,4.6875,12.00814814,0.312081964
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,44.18604651,34.10852713,12.40310078,7.751937984,0,1.550387597,11.66873099,0.217638877
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,53.16455696,27.84810127,0,15.18987342,0,3.797468354,13.34595985,0.358149958
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,12.07278905,0.308422723
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,12.38500129,0.342778458
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,56.49717514,29.37853107,2.259887006,9.039548023,1.129943503,1.694915254,5.56501517,0.329235582
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,42.10526316,42.10526316,7.01754386,7.01754386,0,1.754385965,10.87851194,0.445211595
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,54,30,0,13,0,3,11.09795769,0.473830072
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,46.15384615,25.64102564,20.51282051,0,0,7.692307692,12.22400163,0.211350445
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,46.15384615,25.64102564,20.51282051,0,0,7.692307692,10.88757894,0.20445098
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,44.11764706,27.94117647,4.411764706,19.11764706,0,4.411764706,12.82300198,0.481040642
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,47.05882353,17.64705882,0,23.52941176,0,5.882352941,8.003694156,0.212795533
