PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst CO2,N1bar_CO2
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,47.22222222,33.33333333,16.66666667,0,0,2.777777778,31.19066357,2.477421183
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,47.22222222,33.33333333,16.66666667,0,0,2.777777778,31.98055074,2.602134497
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,47.22222222,33.33333333,16.66666667,0,0,2.777777778,33.50782427,3.303195961
19.54,37.53,6207.17,0.93,0.16,5.8125,54.54545455,33.56643357,1.398601399,8.391608392,0,2.097902098,8.585340112,1.070269835
3.64311,5.44587,266.702,0.5475,1.30707,0.418875806,44.44444444,29.62962963,7.407407407,14.81481481,0,3.703703704,28.06161081,3.984757278
3.91316,4.51878,251.96,0.47356,1.20992,0.391397778,50,36.20689655,3.448275862,8.620689655,0,1.724137931,29.05815782,2.324146527
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,22.09599973,4.108602134
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,25.26988856,4.491945451
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,21.34263351,4.256217824
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,51.1627907,23.25581395,2.325581395,18.60465116,0,4.651162791,15.40761564,3.58826054
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,22.22222222,22.22222222,33.33333333,0,11.11111111,11.11111111,18.15924061,1.830792693
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,52.27272727,20.45454545,0,22.72727273,0,4.545454545,21.47205751,6.753855941
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,52.27272727,20.45454545,0,22.72727273,0,4.545454545,23.4730537,4.800143944
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,47.36842105,15.78947368,0,31.57894737,0,5.263157895,30.36410496,4.89929403
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,49.82698962,24.91349481,4.152249135,13.84083045,2.076124567,5.190311419,15.26040761,1.15569377
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,50,30,0,16.66666667,0,3.333333333,21.65227565,1.094368296
4.38571,5.73292,719.362,0.52164,1.22616,0.425425719,50,30,0,16.66666667,0,3.333333333,25.35817338,3.755742119
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,43.75,18.75,6.25,25,0,6.25,24.07474846,5.265411863
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,43.75,18.75,6.25,25,0,6.25,21.26296375,5.946561749
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,52.17391304,34.7826087,8.695652174,0,0,2.173913043,27.54942519,4.353966939
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,52.17391304,34.7826087,8.695652174,0,0,2.173913043,27.59237097,4.006715283
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,52.17391304,34.7826087,8.695652174,0,0,2.173913043,27.7198329,4.078232887
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,52.17391304,34.7826087,8.695652174,0,0,2.173913043,26.19382886,3.884618149
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,52.17391304,34.7826087,8.695652174,0,0,2.173913043,25.20752809,3.779806607
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,52.17391304,34.7826087,8.695652174,0,0,2.173913043,27.08522406,3.846067208
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,47.36842105,15.78947368,0,31.57894737,0,5.263157895,20.97199709,4.464951113
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,48.21428571,37.5,12.5,0,0,1.785714286,21.50914601,3.680797363
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,48.4375,35.9375,10.9375,3.125,0,1.5625,37.28972208,2.664235315
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,46.875,21.875,6.25,20.3125,0,4.6875,25.23771253,3.341872476
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,44.18604651,34.10852713,12.40310078,7.751937984,0,1.550387597,19.96102384,2.179281595
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,53.16455696,27.84810127,0,15.18987342,0,3.797468354,23.49976008,2.44640147
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,19.85870558,2.911935072
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,20.61262471,3.161947412
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,56.49717514,29.37853107,2.259887006,9.039548023,1.129943503,1.694915254,12.24127284,1.383737527
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,42.10526316,42.10526316,7.01754386,7.01754386,0,1.754385965,37.34792273,8.170953617
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,54,30,0,13,0,3,20.40933331,4.788631086
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,46.15384615,25.64102564,20.51282051,0,0,7.692307692,20.45371555,2.394564078
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,46.15384615,25.64102564,20.51282051,0,0,7.692307692,18.3831581,2.128898981
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,44.11764706,27.94117647,4.411764706,19.11764706,0,4.411764706,21.2643136,3.906818217
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,47.05882353,17.64705882,0,23.52941176,0,5.882352941,15.22403224,1.352444792
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,47.05882353,17.64705882,0,23.52941176,0,5.882352941,21.89859831,1.337689886
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,47.05882353,17.64705882,0,23.52941176,0,5.882352941,21.75890632,1.28352102
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,47.61904762,28.57142857,0,19.04761905,0,4.761904762,18.96250524,3.871069705
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,43.90243902,39.02439024,4.87804878,9.756097561,0,2.43902439,25.86693379,2.640203303
