PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,H2-1 bar (mol/kg)
12.577,15.047,5157.42,0.869,1.34E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.133
11.142,15.032,6369.79,0.872,1.66E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.164
11.744,16.485,6036.53,0.878,1.64E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.163
11.323,16.898,5769.86,0.874,1.52E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.152
11.506,16.118,5413.26,0.87,1.43E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.144
12.134,15.013,5735.03,0.873,1.50E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.149
12.275,15.887,5467.92,0.871,1.42E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.14
11.696,15.332,5309.73,0.868,1.34E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.134
11.714,15.212,5022.88,0.865,1.26E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.126
20.726,27.366,7945.32,0.944,3.91E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.391
21.475,26.403,7773.37,0.943,3.79E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.379
19.661,27.796,7639.83,0.943,3.68E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.368
21.074,26.74,7545.16,0.939,3.53E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.349
20.253,26.014,7628.25,0.939,3.58E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.359
20.738,25.01,7446.36,0.936,3.38E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.337
18.701,25.643,7320.83,0.934,3.25E-06,62.5,30,7.5,0,0,0,0.323
18.855,26.084,7262.46,0.933,3.26E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.328
20.096,27.172,7765.24,0.943,3.76E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.377
20.86,26.3,7613.51,0.941,3.65E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.363
19.194,28.217,7525.48,0.94,3.55E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.352
20.507,26.554,7389.26,0.937,3.43E-06,62.5,30,7.5,0,0,0,0.345
20.151,25.879,7431.38,0.937,3.46E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.345
20.672,25.014,7332.2,0.934,3.27E-06,62.5,30,7.5,0,0,0,0.326
18.546,27.708,7193.31,0.933,3.22E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.321
19.906,25.392,7201.83,0.932,3.16E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.314
18.177,18.376,6662.03,0.894,2.09E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.208
15.612,16.303,6029.87,0.888,1.76E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.179
